2017-01-06 22:16:58 INFO     starting server at 192.243.112.23:8388
2017-01-06 22:17:49 INFO     connecting www.google.com:443 from 59.67.157.162:45880
2017-01-06 22:17:49 INFO     connecting ssl.gstatic.com:443 from 59.67.157.162:45884
2017-01-06 22:17:49 INFO     connecting www.google.com:443 from 59.67.157.162:45885
2017-01-06 22:17:49 INFO     connecting www.google.com:443 from 59.67.157.162:45886
2017-01-06 22:17:49 INFO     connecting www.google.com:443 from 59.67.157.162:45887
2017-01-06 22:17:49 INFO     connecting www.google.com:443 from 59.67.157.162:45888
2017-01-06 22:18:15 INFO     connecting clients1.google.com:443 from 59.67.157.162:45970
2017-01-06 22:18:37 INFO     connecting safebrowsing.clients.google.com:443 from 59.67.157.162:46045
2017-01-06 22:18:38 INFO     connecting safebrowsing-cache.google.com:443 from 59.67.157.162:46048
2017-01-06 22:18:55 INFO     starting server at 192.243.112.23:28379
2017-01-06 22:19:26 INFO     connecting www.google.com:443 from 59.67.157.162:46137
2017-01-06 22:19:26 INFO     connecting www.google.com:443 from 59.67.157.162:46138
2017-01-06 22:19:26 INFO     connecting www.google.com:443 from 59.67.157.162:46139
2017-01-06 22:19:26 INFO     connecting www.google.com:443 from 59.67.157.162:46140
2017-01-06 22:19:27 INFO     connecting ssl.gstatic.com:443 from 59.67.157.162:46142
2017-01-06 22:20:55 INFO     connecting clients1.google.com:443 from 59.67.157.162:46370
2017-01-06 22:20:55 INFO     connecting pagead2.googlesyndication.com:80 from 59.67.157.162:46385
2017-01-06 22:20:56 INFO     connecting pagead2.googlesyndication.com:443 from 59.67.157.162:46421
2017-01-06 22:20:56 INFO     connecting www.gstatic.com:443 from 59.67.157.162:46427
2017-01-06 22:20:56 INFO     connecting tpc.googlesyndication.com:443 from 59.67.157.162:46426
2017-01-06 22:20:56 INFO     connecting pagead2.googlesyndication.com:80 from 59.67.157.162:46446
2017-01-06 22:20:56 INFO     connecting www.gstatic.com:80 from 59.67.157.162:46450
2017-01-06 22:20:56 INFO     connecting www.gstatic.com:80 from 59.67.157.162:46447
2017-01-06 22:20:56 INFO     connecting pagead2.googlesyndication.com:80 from 59.67.157.162:46445
2017-01-06 22:20:56 INFO     connecting www.gstatic.com:80 from 59.67.157.162:46449
2017-01-06 22:21:20 INFO     connecting tpc.googlesyndication.com:443 from 59.67.157.162:46550
2017-01-06 22:21:20 INFO     connecting pagead2.googlesyndication.com:80 from 59.67.157.162:46554
2017-01-06 22:21:20 INFO     connecting pagead2.googlesyndication.com:80 from 59.67.157.162:46555
2017-01-06 22:21:21 INFO     connecting tpc.googlesyndication.com:80 from 59.67.157.162:46567
2017-01-06 22:21:49 INFO     connecting ssl.gstatic.com:443 from 59.67.157.162:46602
2017-01-06 22:22:42 INFO     connecting dc.csdn.net:80 from 59.67.157.162:46954
2017-01-06 22:22:42 INFO     connecting ads.csdn.net:80 from 59.67.157.162:46964
2017-01-06 22:22:43 ERROR    [Errno 104] Connection reset by peer
2017-01-06 22:22:43 INFO     connecting dc.csdn.net:80 from 59.67.157.162:46965
2017-01-06 22:22:43 INFO     connecting dc.csdn.net:80 from 59.67.157.162:46966
2017-01-06 22:22:43 INFO     connecting dc.csdn.net:80 from 59.67.157.162:46967
2017-01-06 22:22:43 INFO     connecting dc.csdn.net:80 from 59.67.157.162:46968
2017-01-06 22:22:43 ERROR    [Errno 104] Connection reset by peer
2017-01-06 22:22:44 ERROR    [Errno 104] Connection reset by peer
2017-01-06 22:22:44 ERROR    [Errno 104] Connection reset by peer
2017-01-06 22:22:44 ERROR    [Errno 104] Connection reset by peer
2017-01-06 22:22:44 ERROR    [Errno 104] Connection reset by peer
2017-01-06 22:23:48 INFO     connecting www.youtube.com:443 from 59.67.157.162:47110
2017-01-06 22:28:24 INFO     connecting www.google.com:443 from 59.67.157.162:47594
2017-01-06 22:28:24 INFO     connecting www.google.com:443 from 59.67.157.162:47595
